Tom aarzelt niet. | [2077, 2078]
Tom besefte al snel dat Mary al zijn grote geld had gestolen. | [2877, 2878]
Tom bestelde wat yoghurt. | [2427, 2428, 2429]
Tom bleef zijn hele leven arm. | [2657, 2662, 2665]
Tom bleef zijn hele leven vrijgezel. | [2671, 2674]
Tom brak zijn beide reizen af. | [789, 791]
Tom bukte zich en pakte de munt op. | [250, 2950]
Tom denkt de hele tijd aan Mary. | [2906, 2909]
Tom duwde alle kussens van het bed. | [2570, 2572, 2573, 2575]
Tom duwde met al zijn gewicht tegen de deur. | [2564, 2568, 2569]
Tom en Mary hebben geen zin. | [103, 108, 111]
Tom en Mary zijn allebei oud genoeg om beter te weten. | [99, 100]
Tom en ik hebben een aantal onafgemaakte transporten. | [93, 94]
Tom en ik hebben een aantal onafgemaakte zaken. | [68, 80]
Tom en ik hebben een aantal onvoltooide publicaties. | [85, 87]
Tom fluisterde iets in Mary's oor | [3304, 3306]
Tom gaf Mary een goed advies. | [1179, 1183]
Tom gaf Mary een goede waarschuwing. | [1180, 1182]
Tom gaf Mary een lijst van alle mensen. | [1161, 1162]
Tom gaf de kat wat magere melk. | [1257, 1282]
Tom gaf de kat wat melkpoeder. | [1262, 1274]
Tom gaf iemand een lijst met alle slachtoffers. | [1207, 1295, 1298]
Tom gaf iemand wat te eten. | [1197, 1299]
Tom gaf wat drinkbaars aan de kat. | [1240, 1273]
Tom gaf wat drop aan zijn kleinkinderen. | [1254, 1255]
Tom gaf wat snoep aan zijn kleinkinderen. | [1225, 1288]
Tom gaf wat suikerspin aan zijn kleinkinderen. | [1234, 1286]
Tom gaf wat toffee aan zijn kleinkinderen. | [1289, 1290]
Tom ging een meisje ontmoeten dat iemand heette. | [3298, 3299]
Tom ging een meisje ontmoeten dat pleegzus heette. | [3290, 3291]
Tom haalde Mary over om wat geld te doneren. | [2959, 2963]
Tom haalde de cd uit het doosje | [3128, 3130]
Tom haalde diep adem | [3020, 3028]
Tom haalde wat groot geld uit zijn portemonnee en gaf het aan Mary. | [3104, 3107]
Tom haalde wat groot geld uit zijn portemonnee. | [3103, 3106]
Tom haalde wat groot geld uit zijn zak. | [3102, 3105]
Tom haalde wat spullen uit zijn tas. | [3101, 3124]
Tom had er geen zin in om te wachten tot Mary terugkwam. | [1513, 1531]
Tom had geen probleem met techniek. | [1516, 1519]
Tom had geen zin om het meisje te kussen. | [1470, 1471]
Tom had geen zin om iemand te kussen. | [1472, 1475, 1476, 1477]
Tom had geen zin om met iemand in discussie te gaan. | [1440, 1443, 1444, 1445]
Tom had geen zin om met iemand uit te gaan. | [1456, 1459, 1460, 1461]
Tom had geen zin om ruzie te maken met zijn pleegzus. | [1436, 1437]
Tom had geen zin om te wachten tot Mary terugkwam. | [1483, 1528, 1534]
Tom had wat geld nodig om iets voor Mary te kopen. | [2303, 2307]
Tom had wat kauwgom aan de onderkant van een van zijn schoenen geplakt. | [1557, 1570]
Tom heeft alle details opgeschreven. | [3328, 3329]
Tom heeft enige artistieke toestemming nodig. | [3092, 3093]
