verbruiken (eng-30-01168468-v); consumeren (eng-30-01168468-v); nassen (eng-30-01168468-v); nuttigen (eng-30-01168468-v); bikken (eng-30-01168468-v); eten (eng-30-01168468-v); maaltijden (eng-30-01168468-v); tafelen (eng-30-01168468-v)	smikkelen (odwn-10-101621905-v)
begrip (eng-30-05805475-n); notie (eng-30-05805475-n); benul (eng-30-05805475-n); besef (eng-30-05805475-n); onderkenning (eng-30-05805475-n); verstajem (eng-30-05805475-n)	bewustzijn (odwn-10-105522369-n)
maken (odwn-10-106229252-v)	voortbrengen (eng-30-01752495-v)
lijn (eng-30-03670849-n)	draad (eng-30-04426788-n); garen (eng-30-04426788-n)
lijden (eng-30-01794668-v); afzien (eng-30-01794668-v)	krijgen (eng-30-02109190-v); lijden (eng-30-02109190-v)
resultaat (odwn-10-106016557-n)	effect (eng-30-11410625-n); gevolg (eng-30-11410625-n); uitvloeisel (eng-30-11410625-n); voortvloeisel (eng-30-11410625-n); uitkomst (eng-30-11410625-n); consequentie (eng-30-11410625-n); uitwerking (eng-30-11410625-n)
verrichten (eng-30-02413480-v); doen (eng-30-02413480-v); werken (eng-30-02413480-v)	plaatsvinden (eng-30-00339934-v); overstag gaan (eng-30-00339934-v); gebeuren (eng-30-00339934-v); doorgaan (eng-30-00339934-v); plaatshebben (eng-30-00339934-v); tot stand komen (eng-30-00339934-v)
overdenken (eng-30-00630380-v); stilstaan bij (eng-30-00630380-v); overwegen (eng-30-00630380-v); mediteren (eng-30-00630380-v); studeren (eng-30-00630380-v); overpeinzen (eng-30-00630380-v); contempleren (eng-30-00630380-v)	overwegen (eng-30-02166460-v); nadenken (eng-30-02166460-v); overdenken (eng-30-02166460-v); overpeinzen (eng-30-02166460-v)
effect (eng-30-11410625-n); gevolg (eng-30-11410625-n); uitvloeisel (eng-30-11410625-n); voortvloeisel (eng-30-11410625-n); uitkomst (eng-30-11410625-n); consequentie (eng-30-11410625-n); uitwerking (eng-30-11410625-n)	uitkomst (odwn-10-104104471-n)
kruid (eng-30-07812184-n); specerij (eng-30-07812184-n)	kruid (odwn-10-100104684-n)
consumptie-artikelen (eng-30-03093574-n); verbruiksgoederen (eng-30-03093574-n); consumptiegoederen (eng-30-03093574-n)	gebruiksvoorwerp (odwn-10-104044601-n)
wassen (eng-30-00231557-v); groeien (eng-30-00231557-v)	wassen (eng-30-00250181-v); groeien (eng-30-00250181-v)
delfstof (odwn-10-106905683-n)	mineraalwater (eng-30-14662574-n); mineraal (eng-30-14662574-n); delfstof (eng-30-14662574-n)
mediateur (eng-30-09624559-n); onderhandelaar (eng-30-09624559-n); middelaar (eng-30-09624559-n); trait-d\ (eng-30-09624559-n); tussenpersoon (eng-30-09624559-n); bemiddelaar (eng-30-09624559-n)	buffer (eng-30-02911158-n); stootblok (eng-30-02911158-n); stootkussen (eng-30-02911158-n)
verrichten (eng-30-02413480-v); doen (eng-30-02413480-v); werken (eng-30-02413480-v)	bezighouden (eng-30-02415831-v)
bovenhalen (eng-30-01759326-v); evoqueren (eng-30-01759326-v); oproepen (eng-30-01759326-v); ontlokken (eng-30-01759326-v); evoceren (eng-30-01759326-v); wekken (eng-30-01759326-v)	bezorgen (odwn-10-103828962-v)
stoffen (eng-30-14840092-n); afstoffen (eng-30-14840092-n); gruis (eng-30-14840092-n); stof (eng-30-14840092-n)	pulver (eng-30-14997012-n); stof (eng-30-14997012-n); poeder (eng-30-14997012-n); poeier (eng-30-14997012-n)
koopwaar (eng-30-03748886-n); waren (eng-30-03748886-n); product (eng-30-03748886-n); waar (eng-30-03748886-n); handelsgoederen (eng-30-03748886-n); handel (eng-30-03748886-n); handelswaar (eng-30-03748886-n); spul (eng-30-03748886-n)	goed (odwn-10-106221629-n)
boot (eng-30-02858304-n); schip (eng-30-02858304-n)	schip (eng-30-04194289-n); kiel (eng-30-04194289-n)
prins (eng-30-10472799-n); koningszoon (eng-30-10472799-n)	prins (eng-30-10473562-n)
mogelijkheid (eng-30-05792010-n)	kunnen (eng-30-05616246-n); potentie (eng-30-05616246-n); macht (eng-30-05616246-n)
spoor (eng-30-13773361-n)	spoor (eng-30-09460312-n)
school (odwn-10-102806605-n)	onderwijsinstelling (eng-30-08276342-n)
koopwaar (eng-30-03748886-n); waren (eng-30-03748886-n); product (eng-30-03748886-n); waar (eng-30-03748886-n); handelsgoederen (eng-30-03748886-n); handel (eng-30-03748886-n); handelswaar (eng-30-03748886-n); spul (eng-30-03748886-n)	goederen (odwn-10-103022467-n)
verhandelen (eng-30-02242464-v); slijten (eng-30-02242464-v); verkopen (eng-30-02242464-v)	kopen (odwn-10-103232899-v)
verbruiken (eng-30-01168468-v); consumeren (eng-30-01168468-v); nassen (eng-30-01168468-v); nuttigen (eng-30-01168468-v); bikken (eng-30-01168468-v); eten (eng-30-01168468-v); maaltijden (eng-30-01168468-v); tafelen (eng-30-01168468-v)	smullen (odwn-10-106845004-v)
bestoking (eng-30-00986938-n); beschieting (eng-30-00986938-n); vuur (eng-30-00986938-n)	schietpartij (eng-30-00122661-n); schot (eng-30-00122661-n)
geven (odwn-10-100993881-v)	bovenhalen (eng-30-01759326-v); evoqueren (eng-30-01759326-v); oproepen (eng-30-01759326-v); ontlokken (eng-30-01759326-v); evoceren (eng-30-01759326-v); wekken (eng-30-01759326-v)
gast (eng-30-10151133-n)	gast (eng-30-10150940-n); invité (eng-30-10150940-n); genodigde (eng-30-10150940-n)
verheugen (eng-30-01813884-v); verblijden (eng-30-01813884-v)	plezieren (odwn-10-103322561-v)
verzorging (eng-30-00665079-n)	zorg (eng-30-00654885-n)
kunnen (eng-30-05616246-n); potentie (eng-30-05616246-n); macht (eng-30-05616246-n)	mogelijkheid (eng-30-05792010-n)
prins (eng-30-10473562-n)	prins (eng-30-10472799-n); koningszoon (eng-30-10472799-n)
instrument (eng-30-03574816-n)	utensiliën (eng-30-04451818-n); werktuig (eng-30-04451818-n); gerei (eng-30-04451818-n); gereedschap (eng-30-04451818-n)
zothuis (eng-30-02820798-n); inrichting (eng-30-02820798-n); krankzinnigengesticht (eng-30-02820798-n); dolhuis (eng-30-02820798-n); gesticht (eng-30-02820798-n); gekkenhuis (eng-30-02820798-n)	instituut (eng-30-08407330-n); instelling (eng-30-08407330-n); genootschap (eng-30-08407330-n); inrichting (eng-30-08407330-n)
partner (eng-30-10402417-n)	maatje (eng-30-09877951-n); partner (eng-30-09877951-n); maat (eng-30-09877951-n); makker (eng-30-09877951-n)
sneeuwen (eng-30-11508382-n); sneeuwwit (eng-30-11508382-n); sneeuwval (eng-30-11508382-n); sneeuw (eng-30-11508382-n)	sneeuwbui (odwn-10-103877771-n)
houden (eng-30-02671880-v); beantwoorden (eng-30-02671880-v); vervullen (eng-30-02671880-v); voldoen (eng-30-02671880-v)	waarmaken (odwn-10-106728374-v)
storen (eng-30-00520357-v); onderbreken (eng-30-00520357-v)	verstoren (odwn-10-104063158-v)
compositum (odwn-10-109043440-n)	verbinding (eng-30-05870180-n)
metameer (eng-30-09429387-n); segment (eng-30-09429387-n); geleding (eng-30-09429387-n)	geleding (eng-30-09385911-n); portie (eng-30-09385911-n)
aanval (eng-30-08215495-n); voorhoede (eng-30-08215495-n)	front (odwn-10-102191771-n)
pulver (eng-30-14997012-n); stof (eng-30-14997012-n); poeder (eng-30-14997012-n); poeier (eng-30-14997012-n)	stoffen (eng-30-14840092-n); afstoffen (eng-30-14840092-n); gruis (eng-30-14840092-n); stof (eng-30-14840092-n)
bedreiging (eng-30-14543231-n)	bedreiging (eng-30-06733476-n)
voorhoede (odwn-10-108356493-n)	aanval (eng-30-08215495-n); voorhoede (eng-30-08215495-n)
beangstigen (eng-30-01779165-v); bang (eng-30-01779165-v)	verontrusten (odwn-10-100913084-v)
gebruiksvoorwerp (odwn-10-104044601-n)	consumptie-artikelen (eng-30-03093574-n); verbruiksgoederen (eng-30-03093574-n); consumptiegoederen (eng-30-03093574-n)
linesman (eng-30-10263259-n); grensrechter (eng-30-10263259-n); lijnrechter (eng-30-10263259-n)	scheidsrechter (eng-30-10514429-n); fluitist (eng-30-10514429-n); scheids (eng-30-10514429-n); arbiter (eng-30-10514429-n)
zinken (eng-30-01985923-v); zakken (eng-30-01985923-v); dalen (eng-30-01985923-v); neervallen (eng-30-01985923-v)	omkieperen (odwn-10-101076640-v)
goedheid (odwn-10-102389522-n)	koopwaar (eng-30-03748886-n); waren (eng-30-03748886-n); product (eng-30-03748886-n); waar (eng-30-03748886-n); handelsgoederen (eng-30-03748886-n); handel (eng-30-03748886-n); handelswaar (eng-30-03748886-n); spul (eng-30-03748886-n)
voorhoede (odwn-10-101125456-n)	avant-garde (eng-30-08465558-n); voorhoede (eng-30-08465558-n)
pil (eng-30-03936895-n); anticonceptiepil (eng-30-03936895-n)	pastille (eng-30-03936568-n); tablet (eng-30-03936568-n); zuigtablet (eng-30-03936568-n)
promotie (eng-30-07248801-n); reclame (eng-30-07248801-n); verkoopbevordering (eng-30-07248801-n); sales-promotion (eng-30-07248801-n); promoting (eng-30-07248801-n); advertentie (eng-30-07248801-n); salespromotion (eng-30-07248801-n)	reclame (odwn-10-108666333-n)
omkieperen (odwn-10-101076640-v)	zinken (eng-30-01985923-v); zakken (eng-30-01985923-v); dalen (eng-30-01985923-v); neervallen (eng-30-01985923-v)
kiepen (odwn-10-103984738-v)	kapseizen (eng-30-01909397-v); omverwerpen (eng-30-01909397-v); wentelen (eng-30-01909397-v); omslaan (eng-30-01909397-v); kantelen (eng-30-01909397-v)
bovenhalen (eng-30-01759326-v); evoqueren (eng-30-01759326-v); oproepen (eng-30-01759326-v); ontlokken (eng-30-01759326-v); evoceren (eng-30-01759326-v); wekken (eng-30-01759326-v)	doen (odwn-10-107125666-v)
hoogte (eng-30-05002352-n)	niveau (eng-30-05131283-n); hoogte (eng-30-05131283-n)
uitkomst (odwn-10-104104471-n)	effect (eng-30-11410625-n); gevolg (eng-30-11410625-n); uitvloeisel (eng-30-11410625-n); voortvloeisel (eng-30-11410625-n); uitkomst (eng-30-11410625-n); consequentie (eng-30-11410625-n); uitwerking (eng-30-11410625-n)
uiten (eng-30-00943837-v); aantonen (eng-30-00943837-v)	uiten (eng-30-00940384-v)
maatstaf (eng-30-13854488-n); criterium (eng-30-13854488-n); graadmeter (eng-30-13854488-n); norm (eng-30-13854488-n); normering (eng-30-13854488-n); standaard (eng-30-13854488-n)	graadmeter (eng-30-07260623-n); standaard (eng-30-07260623-n); maatstaf (eng-30-07260623-n); norm (eng-30-07260623-n); toetssteen (eng-30-07260623-n); normering (eng-30-07260623-n); criterium (eng-30-07260623-n)
monocle (eng-30-03783430-n)	bril (eng-30-04272054-n); fok (eng-30-04272054-n)
aas (eng-30-05695232-n); lokaas (eng-30-05695232-n); lokmiddel (eng-30-05695232-n); lokkertje (eng-30-05695232-n)	eye-catcher (eng-30-05812813-n); blikvanger (eng-30-05812813-n); eyecatcher (eng-30-05812813-n)
verheugen (eng-30-01813884-v); verblijden (eng-30-01813884-v)	uitzien (odwn-10-101810497-v)
regel (eng-30-06652242-n); voorschrift (eng-30-06652242-n)	regel (eng-30-05667613-n); conventie (eng-30-05667613-n); mores (eng-30-05667613-n); formaliteit (eng-30-05667613-n); formule (eng-30-05667613-n)
landouwen (eng-30-08644722-n); open veld (eng-30-08644722-n); platteland (eng-30-08644722-n); grondgebied (eng-30-08644722-n); landerijen (eng-30-08644722-n); land (eng-30-08644722-n); provincie (eng-30-08644722-n)	land (odwn-10-108466870-n)
rollen (eng-30-01866192-v)	rollen (eng-30-01887020-v)
pas (eng-30-06500937-n); in godsnaam (eng-30-06500937-n); paspoort (eng-30-06500937-n)	pasje (odwn-10-100955750-n)
indrijven (odwn-10-106776472-v)	uithalen (eng-30-01400044-v); een opduvel geven (eng-30-01400044-v); kloppen (eng-30-01400044-v); treffen (eng-30-01400044-v); raken (eng-30-01400044-v); kletsen (eng-30-01400044-v); slaan (eng-30-01400044-v)
conflict (eng-30-00958896-n); strijd (eng-30-00958896-n); veldslag (eng-30-00958896-n); zeeslag (eng-30-00958896-n); incident (eng-30-00958896-n); slag (eng-30-00958896-n)	geweld (eng-30-00965404-n); gewelddadigheid (eng-30-00965404-n); bruutheid (eng-30-00965404-n)
stutbalk (eng-30-03601840-n); schoor (eng-30-03601840-n); rib (eng-30-03601840-n); dwarsbalk (eng-30-03601840-n); legger (eng-30-03601840-n); vloerbalk (eng-30-03601840-n); steunbalk (eng-30-03601840-n)	steun (eng-30-04359589-n); stut (eng-30-04359589-n)
utensiliën (eng-30-04451818-n); werktuig (eng-30-04451818-n); gerei (eng-30-04451818-n); gereedschap (eng-30-04451818-n)	toestel (eng-30-02727825-n); apparaat (eng-30-02727825-n)
borduren (odwn-10-102875395-v)	naaien (eng-30-01329239-v)
