tevredenheid (eng-30-07531255-n); voldoening (eng-30-07531255-n); vergenoegdheid (eng-30-07531255-n)	onvrede (eng-30-07539511-n); mishagen (eng-30-07539511-n); ontevredenheid (eng-30-07539511-n); ongenoegen (eng-30-07539511-n)
verdikken (eng-30-00046151-v); aankomen (eng-30-00046151-v)	vermageren (eng-30-00045817-v); afvallen (eng-30-00045817-v)
slaapstoornis (eng-30-14297696-n)	futloosheid (eng-30-14014990-n); lusteloosheid (eng-30-14014990-n); hypnolepsie (eng-30-14014990-n); slaapzucht (eng-30-14014990-n); lethargie (eng-30-14014990-n)
stilvallen (eng-30-00461354-v); stilzwijgen (eng-30-00461354-v); zwijgen (eng-30-00461354-v)	kletsen (odwn-10-102818048-v)
bofkont (odwn-10-102967644-n)	kneus (eng-30-10273064-n); mislukkeling (eng-30-10273064-n); kneusje (eng-30-10273064-n); schlemiel (eng-30-10273064-n); pechvogel (eng-30-10273064-n); loser (eng-30-10273064-n); wanboffer (eng-30-10273064-n); verliezer (eng-30-10273064-n)
aborteren (eng-30-00059769-v)	bevruchten (eng-30-00053159-v)
deblokkeren (eng-30-00181664-v)	blokkeren (odwn-10-105829599-v)
uitgever (eng-30-10635625-n)	geldwolf (odwn-10-104415555-n)
draaien (odwn-10-101058396-v)	afslaan (eng-30-00434374-v); het laten afweten (eng-30-00434374-v); afspringen (eng-30-00434374-v); overlijden (eng-30-00434374-v)
opstappen (eng-30-02016523-v); binnengaan (eng-30-02016523-v); binnendringen (eng-30-02016523-v); ingaan (eng-30-02016523-v)	uitstappen (odwn-10-100392151-v)
aanzetten (eng-30-00345761-v); starten (eng-30-00345761-v); aangaan (eng-30-00345761-v); inzetten (eng-30-00345761-v); aanvangen (eng-30-00345761-v); beginnen (eng-30-00345761-v)	stilleggen (eng-30-02609764-v); eindigen (eng-30-02609764-v); stoppen (eng-30-02609764-v); uitscheiden (eng-30-02609764-v); nokken (eng-30-02609764-v); ophouden (eng-30-02609764-v)
krentenweger (odwn-10-103254339-n)	uitgever (eng-30-10635625-n)
voorlopen (eng-30-01999218-v); voorgaan (eng-30-01999218-v)	achterlopen (odwn-10-100282355-v)
laten (eng-30-02721438-v)	letten (eng-30-02450505-v); beletten (eng-30-02450505-v); voorkomen (eng-30-02450505-v); verletten (eng-30-02450505-v); verhinderen (eng-30-02450505-v)
neerleggen (odwn-10-103236559-v)	utiliseren (eng-30-01158872-v); gebruiken (eng-30-01158872-v); aanwenden (eng-30-01158872-v); verwerken (eng-30-01158872-v); pakken (eng-30-01158872-v); bezigen (eng-30-01158872-v); nemen (eng-30-01158872-v); benutten (eng-30-01158872-v); hanteren (eng-30-01158872-v); toepassen (eng-30-01158872-v)
stilvallen (eng-30-00461354-v); stilzwijgen (eng-30-00461354-v); zwijgen (eng-30-00461354-v)	kwebbelen (odwn-10-107249598-v)
terugkrijgen (eng-30-01111570-v); terugontvangen (eng-30-01111570-v)	pareren (eng-30-00816353-v); riposteren (eng-30-00816353-v); teruggeven (eng-30-00816353-v)
loskomen (eng-30-01299758-v); losraken (eng-30-01299758-v); losgaan (eng-30-01299758-v); loslaten (eng-30-01299758-v)	vastzetten (eng-30-01356750-v); houden (eng-30-01356750-v); vasthouden (eng-30-01356750-v); hechten (eng-30-01356750-v)
improductiviteit (eng-30-05148539-n); improduktiviteit (eng-30-05148539-n)	productiviteit (eng-30-13824500-n); produktiviteit (eng-30-13824500-n); arbeidsproductiviteit (eng-30-13824500-n); arbeidsproduktiviteit (eng-30-13824500-n)
kneus (eng-30-10273064-n); mislukkeling (eng-30-10273064-n); kneusje (eng-30-10273064-n); schlemiel (eng-30-10273064-n); pechvogel (eng-30-10273064-n); loser (eng-30-10273064-n); wanboffer (eng-30-10273064-n); verliezer (eng-30-10273064-n)	mazzelaar (odwn-10-105704389-n)
opvoeren (eng-30-00153263-v); vergroten (eng-30-00153263-v); amplificeren (eng-30-00153263-v)	slabakken (eng-30-00151689-v); teruglopen (eng-30-00151689-v); afnemen (eng-30-00151689-v); verminderen (eng-30-00151689-v); achteruitlopen (eng-30-00151689-v); minderen (eng-30-00151689-v)
bovenkleding (eng-30-03859495-n); overkleed (eng-30-03859495-n)	onderkleren (eng-30-04508949-n); lingerie (eng-30-04508949-n); onderkleding (eng-30-04508949-n); ondergoed (eng-30-04508949-n)
uitgever (eng-30-10635460-n)	geldwolf (odwn-10-104415555-n)
aanspreken (eng-30-01807882-v); bevallen (eng-30-01807882-v); appeleren (eng-30-01807882-v); liggen (eng-30-01807882-v); lijken (eng-30-01807882-v); behagen (eng-30-01807882-v); aanstaan (eng-30-01807882-v); zinnen (eng-30-01807882-v)	jennen (eng-30-01820901-v); plagen (eng-30-01820901-v); misnoegen (eng-30-01820901-v); ontstemmen (eng-30-01820901-v); mishagen (eng-30-01820901-v); tergen (eng-30-01820901-v); pesten (eng-30-01820901-v); ergeren (eng-30-01820901-v); kwellen (eng-30-01820901-v); koeioneren (eng-30-01820901-v); irriteren (eng-30-01820901-v)
de pijp aan Maarten geven (eng-30-00358431-v); creperen (eng-30-00358431-v); kapotgaan (eng-30-00358431-v); inslapen (eng-30-00358431-v); sterven (eng-30-00358431-v); verscheiden (eng-30-00358431-v); omkomen (eng-30-00358431-v); heengaan (eng-30-00358431-v); doodgaan (eng-30-00358431-v); vergaan (eng-30-00358431-v); expireren (eng-30-00358431-v); peigeren (eng-30-00358431-v); insluimeren (eng-30-00358431-v); verrekken (eng-30-00358431-v); versmachten (eng-30-00358431-v); ontslapen (eng-30-00358431-v); overlijden (eng-30-00358431-v)	leven (eng-30-02614181-v); voortbestaan (eng-30-02614181-v); verderleven (eng-30-02614181-v); existeren (eng-30-02614181-v); overleven (eng-30-02614181-v); bestaan (eng-30-02614181-v)
tegenstaan (eng-30-01808769-v); tegensteken (eng-30-01808769-v)	aanspreken (eng-30-01807882-v); bevallen (eng-30-01807882-v); appeleren (eng-30-01807882-v); liggen (eng-30-01807882-v); lijken (eng-30-01807882-v); behagen (eng-30-01807882-v); aanstaan (eng-30-01807882-v); zinnen (eng-30-01807882-v)
kouten (odwn-10-104222879-v)	stilvallen (eng-30-00461354-v); stilzwijgen (eng-30-00461354-v); zwijgen (eng-30-00461354-v)
afdalen (eng-30-01970826-v); dalen (eng-30-01970826-v); zakken (eng-30-01970826-v)	klimmen (odwn-10-101431739-v)
slaapstoornis (eng-30-14297696-n)	slaapzucht (eng-30-14307468-n); narcolepsie (eng-30-14307468-n); lethargie (eng-30-14307468-n); hypnolepsie (eng-30-14307468-n)
stilvallen (eng-30-00461354-v); stilzwijgen (eng-30-00461354-v); zwijgen (eng-30-00461354-v)	parlevinken (odwn-10-107653908-v)
regio (eng-30-08552138-n); rayon (eng-30-08552138-n); gebied (eng-30-08552138-n); grondgebied (eng-30-08552138-n); werkgebied (eng-30-08552138-n); district (eng-30-08552138-n)	binnenland (odwn-10-107703570-n)
skippen (eng-30-00614999-v); weglaten (eng-30-00614999-v); verwaarlozen (eng-30-00614999-v); overslaan (eng-30-00614999-v); overspringen (eng-30-00614999-v)	verwerken (eng-30-00723545-v); verdisconteren (eng-30-00723545-v); rekening houden (eng-30-00723545-v)
vermageren (eng-30-00045817-v); afvallen (eng-30-00045817-v)	verdikken (eng-30-00046151-v); aankomen (eng-30-00046151-v)
afkondigen (odwn-10-102935329-v)	aankondigen (eng-30-00974367-v); bekendmaken (eng-30-00974367-v); notifiëren (eng-30-00974367-v); aanduiden (eng-30-00974367-v); notificeren (eng-30-00974367-v); publiceren (eng-30-00974367-v); betekenen (eng-30-00974367-v)
output (odwn-10-106407272-n)	input (eng-30-06510478-n); invoer_bestand (eng-30-06510478-n); invoer (eng-30-06510478-n); invoering (eng-30-06510478-n)
kracht (eng-30-05035353-n); sterkte (eng-30-05035353-n); lichaamskracht (eng-30-05035353-n); intensiteit (eng-30-05035353-n)	slapte (eng-30-05113133-n)
bewolken (eng-30-02770717-v)	opklaren (eng-30-02771169-v)
toneel (eng-30-05933834-n); achtergrond (eng-30-05933834-n); background (eng-30-05933834-n)	voorgrond (eng-30-05934278-n)
sluiten (eng-30-01346978-v); dichtgaan (eng-30-01346978-v)	ontsluiten (eng-30-01346804-v); opengaan (eng-30-01346804-v); openen (eng-30-01346804-v)
koelen (eng-30-00370412-v); afkoelen (eng-30-00370412-v); verfrissen (eng-30-00370412-v); verkoelen (eng-30-00370412-v); bekoelen (eng-30-00370412-v)	warmen (eng-30-00371264-v); verwarmen (eng-30-00371264-v)
dichtvouwen (odwn-10-109308974-v)	uitvouwen (eng-30-01579813-v); openvouwen (eng-30-01579813-v); ontvouwen (eng-30-01579813-v)
onbekende (eng-30-10661002-n); vreemdeling (eng-30-10661002-n); vreemde (eng-30-10661002-n)	bekende (eng-30-09763784-n); vriendje (eng-30-09763784-n); maatje (eng-30-09763784-n); vriendin (eng-30-09763784-n); bekendheid (eng-30-09763784-n); vriend (eng-30-09763784-n); kennis (eng-30-09763784-n); vriendinnetje (eng-30-09763784-n)
populariteit (eng-30-04808639-n)	impopulariteit (eng-30-04809089-n)
vasteland (eng-30-09346120-n)	eiland (eng-30-09316454-n); enclave (eng-30-09316454-n)
omgaan (eng-30-02072849-v); verglijden (eng-30-02072849-v); vervlieden (eng-30-02072849-v); verlopen (eng-30-02072849-v); vlieden (eng-30-02072849-v); verstrijken (eng-30-02072849-v); voorbijgaan (eng-30-02072849-v)	blijven (eng-30-02731024-v)
burger (odwn-10-107176102-n)	militair (eng-30-10582746-n); krijgsman (eng-30-10582746-n)
uitstappen (odwn-10-100392151-v)	opstappen (eng-30-02015384-v)
aanvaarden (odwn-10-109692310-v)	weigeren (eng-30-02237338-v); afwijzen (eng-30-02237338-v)
babbelen (odwn-10-107936840-v)	stilvallen (eng-30-00461354-v); stilzwijgen (eng-30-00461354-v); zwijgen (eng-30-00461354-v)
dichtklappen (odwn-10-101249037-v)	uitklappen (eng-30-01346003-v)
krentenweger (odwn-10-103254339-n)	uitgever (eng-30-10635460-n)
bekwaamheid (eng-30-05200169-n); vermogen (eng-30-05200169-n); kunnen (eng-30-05200169-n); begaafdheid (eng-30-05200169-n); macht (eng-30-05200169-n); potentie (eng-30-05200169-n); talent (eng-30-05200169-n); geschiktheid (eng-30-05200169-n); vaardigheid (eng-30-05200169-n)	onvermogen (eng-30-05207130-n); insolvabiliteit (eng-30-05207130-n)
prosperiteit (eng-30-14474052-n); welvaren (eng-30-14474052-n); voorspoed (eng-30-14474052-n); welstand (eng-30-14474052-n); welvarendheid (eng-30-14474052-n)	pech (eng-30-14475661-n); tegenslag (eng-30-14475661-n); wanbof (eng-30-14475661-n); malheur (eng-30-14475661-n); tegenspoed (eng-30-14475661-n)
hoogachting (odwn-10-105015447-n)	geringschatting (eng-30-06715927-n); minachting (eng-30-06715927-n); verachting (eng-30-06715927-n); dédain (eng-30-06715927-n); laatdunkendheid (eng-30-06715927-n); depreciatie (eng-30-06715927-n)
lot (eng-30-11418460-n); zwijn (eng-30-11418460-n); geluk (eng-30-11418460-n); mazzel (eng-30-11418460-n); bof (eng-30-11418460-n); zwijntje (eng-30-11418460-n); fortuin (eng-30-11418460-n)	kanker (eng-30-14475405-n); pech (eng-30-14475405-n); onheil (eng-30-14475405-n); ongeluk (eng-30-14475405-n); euvel (eng-30-14475405-n); kwaad (eng-30-14475405-n); rampspoed (eng-30-14475405-n)
credit (odwn-10-107694427-n)	credit (eng-30-13378518-n); krediet (eng-30-13378518-n)
vervolgen (odwn-10-108656275-v)	verdedigen (eng-30-00895304-v); behandelen (eng-30-00895304-v); pleiten (eng-30-00895304-v)
aannemen (odwn-10-109030905-v)	weigeren (eng-30-02237338-v); afwijzen (eng-30-02237338-v)
oningewijde (eng-30-10250527-n); leek (eng-30-10250527-n)	expert (eng-30-09617867-n); deskundoloog (eng-30-09617867-n); deskundige (eng-30-09617867-n); specialist (eng-30-09617867-n); autoriteit (eng-30-09617867-n); rot (eng-30-09617867-n); kenner (eng-30-09617867-n); connaisseur (eng-30-09617867-n)
tonaliteit (eng-30-06863751-n)	atonaliteit (eng-30-06864014-n)
curve (eng-30-13876371-n)	helix (eng-30-03065424-n); schroef (eng-30-03065424-n); krul (eng-30-03065424-n); spiraal (eng-30-03065424-n); spiraallijn (eng-30-03065424-n); schroeflijn (eng-30-03065424-n)
openzetten (eng-30-01348705-v); openmaken (eng-30-01348705-v); ontgrendelen (eng-30-01348705-v); openen (eng-30-01348705-v); opendoen (eng-30-01348705-v); ontsluiten (eng-30-01348705-v)	dichten (eng-30-01345109-v); dichtmaken (eng-30-01345109-v); sluiten (eng-30-01345109-v); toedoen (eng-30-01345109-v); dichtdoen (eng-30-01345109-v)
vrezen (eng-30-01780202-v); opkijken (eng-30-01780202-v); bang zijn (eng-30-01780202-v); duchten (eng-30-01780202-v); schrik hebben (eng-30-01780202-v); opzien (eng-30-01780202-v); aanhikken (eng-30-01780202-v); schrik hebben van (eng-30-01780202-v)	uitkijken (odwn-10-105918466-v)
ongeduld (eng-30-14407283-n)	geduld (odwn-10-103009712-n)
beer (odwn-10-107815316-n)	schuldenaar (eng-30-09997622-n); lener (eng-30-09997622-n); gedelegeerde (eng-30-09997622-n); debiteur (eng-30-09997622-n)
leven (eng-30-02614181-v); voortbestaan (eng-30-02614181-v); verderleven (eng-30-02614181-v); existeren (eng-30-02614181-v); overleven (eng-30-02614181-v); bestaan (eng-30-02614181-v)	de pijp aan Maarten geven (eng-30-00358431-v); creperen (eng-30-00358431-v); kapotgaan (eng-30-00358431-v); inslapen (eng-30-00358431-v); sterven (eng-30-00358431-v); verscheiden (eng-30-00358431-v); omkomen (eng-30-00358431-v); heengaan (eng-30-00358431-v); doodgaan (eng-30-00358431-v); vergaan (eng-30-00358431-v); expireren (eng-30-00358431-v); peigeren (eng-30-00358431-v); insluimeren (eng-30-00358431-v); verrekken (eng-30-00358431-v); versmachten (eng-30-00358431-v); ontslapen (eng-30-00358431-v); overlijden (eng-30-00358431-v)
input (eng-30-06510478-n); invoer_bestand (eng-30-06510478-n); invoer (eng-30-06510478-n); invoering (eng-30-06510478-n)	uitvoer (odwn-10-103651901-n)
uitvoer (odwn-10-103651901-n)	input (eng-30-06510478-n); invoer_bestand (eng-30-06510478-n); invoer (eng-30-06510478-n); invoering (eng-30-06510478-n)
bezorgdheid (eng-30-07524529-n); verontrusting (eng-30-07524529-n); ongerustheid (eng-30-07524529-n); zorg (eng-30-07524529-n)	zorgeloosheid (eng-30-07530866-n); onverschilligheid (eng-30-07530866-n); luchthartigheid (eng-30-07530866-n); onbezorgdheid (eng-30-07530866-n)
boodschappen (eng-30-00873682-v); berichten (eng-30-00873682-v); verwittigen (eng-30-00873682-v); mededelen (eng-30-00873682-v)	aanraden (eng-30-00875141-v); raden (eng-30-00875141-v); pleiten (eng-30-00875141-v); adviseren (eng-30-00875141-v)
arbeidskracht (eng-30-09632518-n); arbeider (eng-30-09632518-n); werknemer (eng-30-09632518-n); loontrekker (eng-30-09632518-n); werkkracht (eng-30-09632518-n); kracht (eng-30-09632518-n)	werkgever (eng-30-10054657-n)
tegoed (odwn-10-107265505-n)	credit (eng-30-13378518-n); krediet (eng-30-13378518-n)
aanwezigheid (eng-30-13957601-n); tegenwoordigheid (eng-30-13957601-n); bijzijn (eng-30-13957601-n); presentie (eng-30-13957601-n)	afwezigheid (odwn-10-101000990-n)
verharden (eng-30-00443116-v); harden (eng-30-00443116-v)	weken (odwn-10-109264135-v)
dubbelspel (odwn-10-103474753-n)	single (eng-30-00483313-n); enkelspel (eng-30-00483313-n)
klimmen (eng-30-00155143-v); oplopen (eng-30-00155143-v); stijgen (eng-30-00155143-v)	dalen (odwn-10-102565187-v)
kwebbelen (odwn-10-107249598-v)	stilvallen (eng-30-00461354-v); stilzwijgen (eng-30-00461354-v); zwijgen (eng-30-00461354-v)
verwerken (eng-30-00723545-v); verdisconteren (eng-30-00723545-v); rekening houden (eng-30-00723545-v)	skippen (eng-30-00614999-v); weglaten (eng-30-00614999-v); verwaarlozen (eng-30-00614999-v); overslaan (eng-30-00614999-v); overspringen (eng-30-00614999-v)
ontgaan (eng-30-02723232-v)	volgen (eng-30-00588888-v); snappen (eng-30-00588888-v); vatten (eng-30-00588888-v); verstaan (eng-30-00588888-v); weten (eng-30-00588888-v); doorzien (eng-30-00588888-v); bevatten (eng-30-00588888-v); doorhebben (eng-30-00588888-v); begrijpen (eng-30-00588888-v)
valsheid (eng-30-13960464-n); dubbelhartigheid (eng-30-13960464-n)	authenticiteit (eng-30-04783247-n); echtheid (eng-30-04783247-n); originaliteit (eng-30-04783247-n)
militair (eng-30-10582746-n); krijgsman (eng-30-10582746-n)	burger (odwn-10-109445819-n)
klessebessen (odwn-10-105584280-v)	stilvallen (eng-30-00461354-v); stilzwijgen (eng-30-00461354-v); zwijgen (eng-30-00461354-v)
verzetten (eng-30-01116585-v); vechten (eng-30-01116585-v); verweren (eng-30-01116585-v); weren (eng-30-01116585-v); keren (eng-30-01116585-v); roeren (eng-30-01116585-v); kanten (eng-30-01116585-v)	toegeven (eng-30-00435103-v)
afslaan (eng-30-00434374-v); het laten afweten (eng-30-00434374-v); afspringen (eng-30-00434374-v); overlijden (eng-30-00434374-v)	lopen (odwn-10-100466000-v)
weigeren (eng-30-02237338-v); afwijzen (eng-30-02237338-v)	aannemen (odwn-10-109030905-v)
tevredenheid (eng-30-07531255-n); voldoening (eng-30-07531255-n); vergenoegdheid (eng-30-07531255-n)	onbehaaglijkheid (eng-30-07538965-n); misnoegen (eng-30-07538965-n); onvrede (eng-30-07538965-n); mishagen (eng-30-07538965-n); ontevredenheid (eng-30-07538965-n); onbehagen (eng-30-07538965-n); ongenoegen (eng-30-07538965-n)
uithalen (eng-30-01400044-v); een opduvel geven (eng-30-01400044-v); kloppen (eng-30-01400044-v); treffen (eng-30-01400044-v); raken (eng-30-01400044-v); kletsen (eng-30-01400044-v); slaan (eng-30-01400044-v)	missen (eng-30-01237901-v)
ontsteken (eng-30-02759614-v); aansteken (eng-30-02759614-v)	uitdoven (eng-30-00352419-v); uitgaan (eng-30-00352419-v); doven (eng-30-00352419-v)
stijgen (odwn-10-106969472-v)	afdalen (eng-30-01970826-v); dalen (eng-30-01970826-v); zakken (eng-30-01970826-v)
schenden (eng-30-00258857-v); beschadigen (eng-30-00258857-v); havenen (eng-30-00258857-v)	repareren (eng-30-00260648-v); herstellen (eng-30-00260648-v); verstellen (eng-30-00260648-v); maken (eng-30-00260648-v); lijmen (eng-30-00260648-v); redresseren (eng-30-00260648-v); verbeteren (eng-30-00260648-v); lappen (eng-30-00260648-v)
expert (eng-30-09617867-n); deskundoloog (eng-30-09617867-n); deskundige (eng-30-09617867-n); specialist (eng-30-09617867-n); autoriteit (eng-30-09617867-n); rot (eng-30-09617867-n); kenner (eng-30-09617867-n); connaisseur (eng-30-09617867-n)	oningewijde (eng-30-10250527-n); leek (eng-30-10250527-n)
pech (eng-30-14475661-n); tegenslag (eng-30-14475661-n); wanbof (eng-30-14475661-n); malheur (eng-30-14475661-n); tegenspoed (eng-30-14475661-n)	prosperiteit (eng-30-14474052-n); welvaren (eng-30-14474052-n); voorspoed (eng-30-14474052-n); welstand (eng-30-14474052-n); welvarendheid (eng-30-14474052-n)
gelukken (eng-30-02524171-v); lukken (eng-30-02524171-v); gaan (eng-30-02524171-v); slagen (eng-30-02524171-v)	floppen (eng-30-02528380-v); mislukken (eng-30-02528380-v); falen (eng-30-02528380-v); misgaan (eng-30-02528380-v); scheeflopen (eng-30-02528380-v); knallen (eng-30-02528380-v); mislopen (eng-30-02528380-v)
stilstand (eng-30-14012501-n)	beweging (eng-30-00331950-n)
krentenkakker (odwn-10-109615464-n)	uitgever (eng-30-10635625-n)
beweging (eng-30-00331950-n)	stilstand (eng-30-14012501-n)
afdekken (odwn-10-105550925-v)	omsluieren (eng-30-01332730-v); bedekken (eng-30-01332730-v)
gebrek hebben (eng-30-02632353-v); ontbreken (eng-30-02632353-v); missen (eng-30-02632353-v); schorten (eng-30-02632353-v); mankeren (eng-30-02632353-v)	zijn (eng-30-02655135-v); ophouden (eng-30-02655135-v); bevinden (eng-30-02655135-v); zitten (eng-30-02655135-v); uithangen (eng-30-02655135-v); pozen (eng-30-02655135-v); toeven (eng-30-02655135-v); verkeren (eng-30-02655135-v); verwijlen (eng-30-02655135-v); wezen (eng-30-02655135-v); vertoeven (eng-30-02655135-v)
waarschijnlijkheid (eng-30-04756172-n)	onwaarschijnlijkheid (eng-30-04758452-n)
concentratie (eng-30-05702275-n); aandacht (eng-30-05702275-n); attentie (eng-30-05702275-n); oplettendheid (eng-30-05702275-n); opmerkzaamheid (eng-30-05702275-n); aandachtigheid (eng-30-05702275-n)	afwezigheid (eng-30-05701209-n)
bewustzijn (odwn-10-108308467-n)	bewusteloosheid (eng-30-05678932-n)
meevallen (odwn-10-102125680-v)	tegenvallen (eng-30-01799484-v); afvallen (eng-30-01799484-v)
afslaan (eng-30-00434374-v); het laten afweten (eng-30-00434374-v); afspringen (eng-30-00434374-v); overlijden (eng-30-00434374-v)	draaien (odwn-10-101058396-v)
indolentie (eng-30-07483622-n); lusteloosheid (eng-30-07483622-n); lamlendigheid (eng-30-07483622-n); matheid (eng-30-07483622-n); apathie (eng-30-07483622-n); futloosheid (eng-30-07483622-n); landerigheid (eng-30-07483622-n)	zucht (eng-30-07485475-n); koorts (eng-30-07485475-n); dorst (eng-30-07485475-n); honger (eng-30-07485475-n); begeerte (eng-30-07485475-n)
stilvallen (eng-30-00461354-v); stilzwijgen (eng-30-00461354-v); zwijgen (eng-30-00461354-v)	mededelen (eng-30-00952524-v); waarschuwen (eng-30-00952524-v); meedelen (eng-30-00952524-v)
ondervraging (eng-30-07193184-n); vraag (eng-30-07193184-n)	beantwoording (eng-30-07200527-n); antwoord (eng-30-07200527-n)
aanklagen (odwn-10-102939497-v)	verdedigen (eng-30-00895304-v); behandelen (eng-30-00895304-v); pleiten (eng-30-00895304-v)
