index	promptID	pairID	genre	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	label1	label2	label3	label4	label5	gold_label
1	1	1	paper:FraCaS_GQ:upward_monotone					Een Ierse man won de nobelprijs voor literatuur.	Een Ierse man won een nobelprijs.						entailment
2	2	2	paper:FraCaS_GQ:downward_monotone					Geen afgevaardigde had het verslag op tijd af.	Geen afgevaardigde had het verslag af.						neutral
3	3	3	paper:FraCaS_GQ:upward_monotone					Een paar afgevaardigden hadden de vragenlijst op tijd af.	Een paar afgevaardigden hadden de vragenlijst af.						entailment
4	4	4	paper:FraCaS_GQ:upward_monotone					Veel afgevaardigden haalden interessante resultaten uit de vragenlijst.	Veel afgevaardigden haalden resultaten uit de vragenlijst.						entailment
5	5	5	paper:FraCaS_GQ:upward_monotone					Meerdere afgevaardigden kregen resultaten gepubliceerd in grote nationale kranten.	Meerdere afgevaardigden kregen resultaten gepubliceerd.						entailment
6	6	6	paper:FraCaS_GQ:upward_monotone					Beide commissarissen waren ooit leidend zakenmannen.	Beide commissarissen waren ooit zakenmannen.						entailment
7	7	7	paper:FraCaS_GQ:downward_monotone					Geen van beide commissarissen brengt veel tijd thuis door.	Geen van beide commissarissen brengt tijd thuis door.						neutral
8	8	8	paper:FraCaS_GQ:upward_monotone					Ten minste drie commissarissen spenderen veel tijd thuis.	Ten minste drie commissarissen spenderen tijd thuis.						entailment
9	9	9	paper:FraCaS_GQ:downward_monotone					Niet meer dan tien commissarissen spenderen veel tijd thuis.	Niet meer dan tien commissarissen spenderen tijd thuis.						neutral
10	10	10	paper:FraCaS_GQ:upward_monotone					Een Ierse man won een nobelprijs.	Een Ierse man won de nobelprijs voor literatuur.						neutral
11	11	11	paper:FraCaS_GQ:upward_monotone					Een paar afgevaardigden hadden de vragenlijst af.	Een paar afgevaardigden hadden de vragenlijst op tijd af.						neutral
12	12	12	paper:FraCaS_GQ:upward_monotone					Veel afgevaardigden haalden resultaten uit de vragenlijst.	Veel afgevaardigden haalden interessante resultaten uit de vragenlijst.						neutral
13	13	13	paper:FraCaS_GQ:downward_monotone					Meerdere afgevaardigden kregen resultaten gepubliceerd.	Meerdere afgevaardigden kregen resultaten gepubliceerd in grote nationale kranten.						neutral
14	14	14	paper:FraCaS_GQ:upward_monotone					Beide commissarissen waren ooit zakenmannen.	Beide commissarissen waren ooit leidend zakenmannen.						neutral
15	15	15	paper:FraCaS_GQ:upward_monotone					Ten minste drie commissarissen spenderen tijd thuis.	Ten minste drie commissarissen spenderen veel tijd thuis.						neutral
16	16	16	paper:FraCaS_GQ:downward_monotone					Niet meer dan tien commissarissen spenderen tijd thuis.	Niet meer dan tien commissarissen spenderen veel tijd thuis.						entailment
17	17	17	paper:FraCaS_GQ:downward_monotone					Geen Scandinavische afgevaardigde had het verslag op tijd af.	Een of andere afgevaardigde had het verslag op tijd af.						neutral
18	18	18	paper:FraCaS_GQ:upward_monotone					Een paar Ierse afgevaardigden hadden de vragenlijst op tijd af.	Een paar afgevaardigden hadden de vragenlijst op tijd af.						entailment
19	19	19	paper:FraCaS_GQ:non_monotone					Veel Britse afgevaardigden haalden interessante resultaten uit de vragenlijst.	Veel afgevaardigden haalden interessante resultaten uit de vragenlijst.						neutral
20	20	20	paper:FraCaS_GQ:upward_monotone					Meerdere Portugese afgevaardigden kregen resultaten gepubliceerd in grote nationale kranten.	Meerdere afgevaardigden kregen resultaten gepubliceerd in grote nationale kranten.						entailment
21	21	21	paper:FraCaS_GQ:downward_monotone					De meeste Europeanen die inwoner zijn in Europa kunnen vrij reizen binnen Europa.	De meeste Europeanen kunnen vrij reizen binnen Europa.						neutral
22	22	22	paper:FraCaS_GQ:upward_monotone					Een paar vrouwelijke comitéleden komen uit Scandinavië.	Ten minste een paar comitéleden komen uit Scandinavië.						entailment
23	23	23	paper:FraCaS_GQ:downward_monotone					Weinig vrouwelijke comitéleden komen uit zuid-Europa.	Weinig comitéleden komen uit zuid-Europa.						neutral
24	24	24	paper:FraCaS_GQ:non_monotone					Beide vrouwelijke commissarissen zaten ooit in de handel.	Beide commissarissen zaten ooit in de handel.						neutral
25	25	25	paper:FraCaS_GQ:downward_monotone					Geen van beide vrouwelijke commissarissen brengt veel tijd thuis door.	Een van de commissarissen brengt veel tijd thuis door.						neutral
26	26	26	paper:FraCaS_GQ:upward_monotone					Ten minste drie vrouwelijke commissarissen spenderen tijd thuis.	Ten minste drie commissarissen spenderen tijd thuis.						entailment
27	27	27	paper:FraCaS_GQ:downward_monotone					Niet meer dan tien vrouwelijke commissarissen spenderen tijd thuis.	Niet meer dan tien commissarissen spenderen tijd thuis.						neutral
28	28	28	paper:FraCaS_GQ:upward_monotone					Een paar afgevaardigden hadden de vragenlijst op tijd af.	Een paar Ierse afgevaardigden hadden de vragenlijst op tijd af.						neutral
29	29	29	paper:FraCaS_GQ:non_monotone					Veel afgevaardigden haalden interessante resultaten uit de vragenlijst.	Veel Britse afgevaardigden haalden interessante resultaten uit de vragenlijst.						neutral
30	30	30	paper:FraCaS_GQ:upward_monotone					Meerdere afgevaardigden kregen resultaten gepubliceerd in grote nationale kranten.	Meerdere Portugese afgevaardigden kregen resultaten gepubliceerd in grote nationale kranten.						neutral
